acronym	title	location
AISTATS 2020	The 23rd International Conference on Artificial Intelligence and Statistics	 Palermo, Sicily, Italy
ICIIP 2019	【ACM ICPS EI SCOPUS】2019 4th International Conference on Intelligent Information Processing	Kuala Lumpur, Malaysia
AMME 2019	【ACM ICPS EI SCOPUS】2019 Annual Meeting on Management Engineering	Kuala Lumpur, Malaysia
OLA 2020	International Conference on Optimization and Learning	Cadiz, Spain
TDSC 2020	IEEE TDSC SPECIAL ISSUE ON AI/ML FOR SECURE COMPUTING	N/A
OPT 2019	11th OPT Workshop on Optimization for Machine Learning	Vancouver, Canada
IEEE BigComp  2020	The 7th IEEE International Conference on Big Data and Smart Computing	Busan, South Korea
BigDataCPS 2019	International Workshop on Big Data Analytics of Cyber-Physical Systems	Alexandria
Biometrics 2019	Special Issue on Recent Advances in Biometrics and its Applications	N/A
SABID 2019	WORKSHOP ON SOLAR & STELLAR  ASTRONOMY BIG DATA	Los Angeles, CA, USA
CAI 2019	Third NeurIPS workshop on Conversational AI: “Today's Practice and Tomorrow's Potential”	Vancouver, Canada
NZJAI 2019	New Zealand Journal of Artificial Intelligence	N/A
INTIS 2019	8th edition of International Conference on Innovation and New Trends in Information Technology	Tangier-Morocco
NeurIPS WS: Optimization for ML 2019	NeurIPS 2019 Workshop: Beyond First Order Methods in Machine Learning	Vancouver, CANADA 
ACBH  2019	4th Workshop on Affective Computing in Biomedicine and Healthcare	San Diego, CA, USA
Robust AI in FS 2019	NeurIPS 2019 Workshop on Robust  AI in Financial Services: Data, Fairness, Explainability, Trustworthiness, and Privacy	Vancouver
program-transformations 2019	NeurIPS 2019 Workshop on Program Transformations for Machine Learning	Vancouver, Canada
AI+HADR 2019	Artificial Intelligence for Humanitarian Assistance and Disaster Response	NeurIPS 2019 (Vancouver)
FL - IEEE BigData 2019	IEEE BigData 2019 - Special Track on Federated Machine Learning	Los Angeles, CA, USA
ITML 2019	NeurIPS 2019 Workshop on Information Theory and Machine Learning	Vancouver
VP-HBA 2020	ACM SAC track on Video Processing for Human Behavioral Analysis Track	Brno
EFIOT'19	MobiQuitous Workshop on Edge, Fog, and Cloud Computing for the Internet of Things (EFIOT)	Houston, United States
ML4H 2019	NeurIPS 2019 Workshop on Machine Learning for Health (ML4H 2019) Call for Papers	Vancouver, Canada
AICM 2019	AI Conference Moscow 2019	Moscow, Russian Federation
FL - NeurIPS 2019	The 2nd International Workshop on Federated Learning for Data Privacy and Confidentiality (in Conjunction with NeurIPS 2019)	West 118–120 Vancouver Convention Center
NeurIPS Robot Learning 2019	NeurIPS19 WS on Robot Learning: Control and Interaction in the Real World	Vancouver Convention Center, Vancouver, 
IEEE SITIS I-MIRA 2019	Intelligent Multimedia Information Retrieval and Applications workshop	Sorrento (NA), Italy
neurips_causalml 2019	NeurIPS 2019 Workshop on Causal Machine Learning	Vancouver
CoDS-COMAD 2020	The ACM India Joint International Conference on Data Sciences and Management of Data 	Hyderabad, India
ML4PS 2019	NeurIPS 2019 workshop on Machine Learning and the Physical Sciences	Vancouver, Canada
MLPMEA 2019	Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2019	Boca Raton, Florida, USA
ICMLA 2019	18th IEEE International Conference on Machine Learning and Applications	Boca Raton, Florida, USA
AMV 2019	Special session: Machine Learning in Advanced Machine Vision	Boca Raton, Florida, USA
AAAI 2020	The Thirty-Fourth AAAI Conference on Artificial Intelligence	Hilton New York Midtown, New York, USA
WDEA 2019	SECOND  WORKSHOP ON DATA ENGINEERING AND ANALYTICS	MADRID
KICSS 2019	The 14th International Conference on Knowledge, Information and Creativity Support Systems	Ho Chi Minh City, Vietnam
TAAI 2019	The 24th Conference on Technologies and Applications of Artificial Intelligence	Kaohsiung, Taiwan
SenSys-ML 2019	Machine Learning on Edge in Sensor Systems	New York, New York
BNAIC 2019	The 31st Benelux Conference on Artificial Intelligence	Brussels, Belgium
MDPI-BLOC 2019	MDPI Future Internet Journal - Special Issue on Blockchain: Current Challenges and Future Prospects/Applications	N/A
IEEE BigComp  2020	The 7th IEEE International Conference on Big Data and Smart Computing	Pusan, South Korea
MSR 2019	Second Workshop on Multilingual Surface Realization (+ Shared task)	Hong Kong
INTESA 2019	INTelligent Embedded Systems Architectures and Applications Workshop	New York
KDAH-CIKM 2019	Second Workshop on Knowledge-driven Analytics and Systems Impacting Human Quality of Life (KDAH-CIKM-2019)	Beijing
WiML 2019	Workshop for Women in Machine Learning	Vancouver, Canada
MMLA 2019	International Conference on Modeling, Machine Learning and Astronomy 	PES University, Bangalore, India
AMLTA - 2020	5th International Conference on Advanced Machine Learning Technologies and Applications	Manipal University Jaipur, India
BChainBDML 2019	Blockchain, BigData and Machine learning: Trends and Applications	India
ISAAI 2019	First International Symposium on Applied Artificial Intelligence (ISAAI’19)	Munich, Germany
MoST-Rec 2019	Workshop on Model Selection and Parameter Tuning in Recommender Systems	Beijing, China
AusDM 2019	The 17th Australasian Data Mining Conference	Adelaide, Australia
Australasian AI conference 2019	AI2019	Adelaide
AIM 2019	ICCV 2019 - Advances in Image Manipulation workshop and challenges	Seoul, Korea
 MECN 2019	Deadline approaching | The 4th International Workshop on Multi-access Edge Computing and Networking	Shenyang China
SiPML 2019	The 5th International Workshop on Signal Processing and Machine Learning	Antwerp, Belgium
IEEE--IPMV--Ei, Scopus 2019	IEEE--2019 International Conference on Image Processing and Machine Vision (IPMV 2019)--Ei Compendex, Scopus	Shandong University (Weihai), China
AIChallengeIoT 2019	International Workshop on Challenges in Artificial Intelligence and Machine Learning for Internet of Things (in conjunction with ACM SenSys)	New York City, USA
Autonomous Driving Workshop at ICCV 2019	Autonomous Driving Workshop at ICCV, 2019	Seoul, South Korea
DLID 2019	2nd Deep Learning on Irregular Domains Workshop at IEEE ICDM'19	Beijing, China
DMIIOT 2019	IEEE ICDM workshop - Data Mining in Industrial Internet of Things (DMIIOT)	Beijing
DC 2019	Decentralized 2019 (DC2019) – Academic Track	Athens
ICTC 2019	The 10th International Conference on Information and Communication Technology Convergence	Jeju Island, South Korea
IEEE CICS 2019	IEEE Symposium on Computational Intelligence in Cyber Security	Xiamen, China
Special Issue on Learning from IoT Data 2019	ACM Transactions on Data Science: Special Issue on Retrieving and Learning from Internet of Things Data	N/A
iCMLDE 2019	International Conference on Machine Learning and Data Engineering	Taipei, Taiwan
RSDA 2019	The 4th International Workshop on Reliability and Security Data Analysis	Berlin, GERMANY
CVRSUAD 2019	7th Workshop on  Computer Vision for Road Scene Understanding & Autonomous Driving	Seoul, Korea
SpeD 2019	The 10th Conference on Speech Technology and Human-Computer Dialogue	Timisoara, Romania
WACV 2020	Workshop on Applications of Computer Vision	Snowmass Village, CO
VISxAI 2019	2nd Workshop on Visualization for AI Explainability (VISxAI) at IEEE VIS 2019	Vancouver, British Columbia, Canada
IDEAL 2019	Intelligent Data Engineering and Automated Learning	Manchester
DX 2019	30th International Workshop on Principles of Diagnosis	Klagenfurt, Austria
iCRM 2019	5th International Workshop on Intelligent Data Analysis in Integrated Social CRM	Thessaloniki
ASHES 2019	Workshop on Attacks and Solutions in Hardware Security	London, UK
EXAG 2019	Experimental AI in Games (AIIDE 2019 Workshop)	Atlanta, GA
IEEE ICDM  2019	IEEE ICDM 2019: Call for Tutorials	Beijing, China
Global AI Congress 2019	Global AI Congress 2019	BOSE INSTITUTE (BASU BIGYAN MANDIR)
ACVR 2019	Seventh International Workshop on Assistive Computer Vision and Robotics	Seoul (Korea)
MLJ GI special issue 2019	Special Issue on Grammatical Inference in Machine Learning journal	N/A
AILA 2019	Artificial Intelligence for Legal Assistance	Indian Statistical Institute, Kolkata
NoDaLiDa 2019	[FNP 2019] Second Financial Narrative Processing Workshop	Turku, Finland
RANLP-Stud 2019	RANLP 2019 Student Workshop	Varna, Bulgaria
ORSUM 2019	2nd Workshop on Online Recommender Systems and User Modeling @ ACM RecSys 2019	Copenhagen, Denmark 
IHCI 2019	11th International Conference on INTELLIGENT HUMAN COMPUTER INTERACTION	IIT Jodhpur,Rajasthan,India
GCAI 2019	The 5th Global Conference on Artificial Intelligence	Bolzano, Italy
EPSS 2019	ECML/PKDD Summer School on Machine Learning and Data Mining for Geo-Spatial Data, Quality of Experience, and Human-Computer Interaction	Wuerzburg
ICBDACI 2019	2nd International Conference on Big Data Analytics And Computational Intelligence	Chennai, India
ICDSE 2019	5th IEEE  International Conference on Data Science and Engineering (ICDSE 2019)	IIT Patna
QTML 2019	3rd Quantum Techniques in Machine Learning 2019	KAIST, Daejeon, South Korea
SSCT&A 2019	Special Issue on Smart System and Computational Intelligence and its Application	N/A
IEEE CEMag - SI on AI-in-CE -  2019	IEEE CE Magazine - Special Issue Artificial Intelligence in Consumer Electronics	N/A
DataMod 2019	8th International Symposium “From Data to Models and Back (DataMod)”	Porto (Portugal)
NoDaLiDa Call for participation - FinTOC 2019	Call for participation - FinTOC shared task 	Finland
UPA 2019	UPA'19: 4th International Workshop on Ubiquitous Personal Assistance	London, UK
DS 2019	Discovery Science	Split, Croatia
MLCS 2019	Workshop on Machine Learning for CyberSecurity	Wurzburg, Germany
AALTD@ECML 2019	4th Workshop on Advanced Analytics and Learning on Temporal Data	Wrutzburg (Germany)
AISEC 2019	12th ACM Workshop on Artificial Intelligence and Security	London, UK
CSITS 2018	International Workshop on Cyber Security for Intelligent Transportation Systems	Barcelona, Spain
AINL 2019	Artificial Intelligence and Natural Language	Tartu, Estonia
MLSA 2019	6th Workshop on Sports Analytics (MLSA19) @ ECML PKDD 2019	Würzburg
CIARP 2019	24th Iberoamerican Congress on Pattern Recognition	Havana, Cuba
Big Data & AI 2019	2019 The 7th International Workshop on Big Data & AI	Guilin, China
ACPR 2019	Asian Conference on Pattern Recognition	Auckland, New Zealand
Workshop Multiview Learning, ECML PKDD 2019	Call for Papers and Datasets, ECML PKDD'2019 workshop on Data and Machine Learning Approaches with Multiple Views	Würzbürg, Germany
RSSDS2019	[Springer CCIS] RESEARCH SCHOOL ON STATISTICS AND DATA SCIENCE  2019 [DBLP, Google Scholar, Scopus, Web of Science] 	Melbourne Australia
AIMLAI-XKDD 2019	Joint International Workshop on Advances in Interpretable Machine Learning and Artificial Intelligence & eXplainable Knowledge Discovery in Data Mining	Würzburg
AutoDS 2019	ECMLPKDD WORKSHOP ON AUTOMATING DATA SCIENCE	Wurzburg, Germany
ECMLPKDD PhD_Forum 2019	CFP: ECMLPKDD PhD Forum 2019	Würzburg
BIOFOR 2019	Workshop on Recent Advances in Digital Security: Biometrics and Forensics	Trento (ITALY)
SQUADE 2019	2nd international workshop on software qualities and their dependencies	Tallin
EASEAI 2019	1st International Workshop on Education through Advanced Software Engineering and Artificial Intelligence	Tallin, Estonia
COARCH 2019	Workshop on Computing Techniques for Spatio-Temporal Data in Archaeology and Cultural Heritage	Regensburg, Germany
MIDAS 2019	4th Workshop on MIning DAta for financial applicationS	Wurzburg, Germany
