acronym	title	location
IEEE-CC 2020	First IEEE International Conference on Conversational Computing	Irvine, CA
AIME 2021	Artificial Intelligence in Medicine in Europe	Porto, Portugal
StoryCase 2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
AI4P 2020	Workshop on AI for Privacy @ ECAI2020	Santiago De Compostela, ES
ACCESS 2020	International Conference on Advances in Computing, Communication, Embedded and Secure Systems	ASIET, Kalady, Cochin, INDIA
IEEE--ICCAR--Ei & SCOPUS 2020	2020 The 6th IEEE International Conference on Control, Automation and Robotics (ICCAR 2020)--Ei Compendex & SCOPUS	Singapore
AI4EIoTs 2020	Workshop on Artificial Intelligence for Emerging IoT Systems: Open Challenges and Novel Perspectives	Prague, Czech Republic
DB&IS-DC 2020	Doctoral Consortium of the 14th International Baltic Conference on Databases and Information Systems	Tallinn, ESTONIA
Bled eConference 2020	33rd Bled eConference - ENABLING TECHNOLOGY FOR A SUSTAINABLE SOCIETY	Bled, Slovenia
SWeBT 2020	The Semantic Web Enabled Blockchain Technologies Workshop 	Islamabad, Pakistan
ICDIS 2020	The 3rd International Conference on Data Intelligence and Security	South Padre Island, Texas, USA
ICCC 2020	11th International Conference on Computational Creativity	Coimbra, Portugal
ACM--ICMAI--EI and Scopus 2020	ACM--2020 5th International Conference on Mathematics and Artificial Intelligence (ICMAI 2020)--Ei Compendex and Scopus	Chengdu, China
IEEE ICCCBDA--Scopus and Ei 2020	2020 IEEE 5th International Conference on Cloud Computing and Big Data Analytics (IEEE ICCCBDA 2020)--Scopus and Ei Compendex	Chengdu, China
ACM--ICCTA--Ei Compendex, Scopus 2020	ACM--2020 6th International Conference on Computer and Technology Applications (ICCTA 2020)--Ei Compendex, Scopus	Antalya, Turkey
FTC 2020	Future Technologies Conference 2020	Vancouver, Canada
BIGML  2020	International conference on Big Data, Machine learning and Applications 	Vienna, Austria
SIGML 2020	International Conference on Signal Processing and Machine Learning	Sydney, Australia
IT 2020	9th International Conference on Information Theory	Sydney, Australia
WIA 2020	Women in Analytics Conference	Columbus, OH
21st EANN 2020	Engineering Applications of Neural Networks	PORTO CARRAS Resort Halkidiki Greece
16th AIAI 2020	16th Artificial Intelligence Applications and Innovations	PORTO CARRAS Resort Halkidiki Greece
IEEE FRUCT 2020	26th Conference of Open Innovations Association FRUCT	Yaroslavl, Russia
IUVS 2020	Recent Advances in Machine Learning for Unmanned Vehicle Networks	N/A
ISPR 2020	The ACM international conference on Intelligent systems and Pattern recognition	Hammamet Tunis
ICGDA--ACM, Ei and Scopus 2020	ACM--2020 3rd International Conference on Geoinformatics and Data Analysis (ICGDA 2020)--EI Compendex, SCOPUS	Marseille, France
ICSSE--Ei and Scopus 2020	2020 The 3rd International Conference on Software and Services Engineering (ICSSE 2020)--EI Compendex, SCOPUS	Marseille, France
ALA  2020	Adaptive and Learning Agents Workshop @ AAMAS 2020	Auckland, New Zealand
COINE 2020	International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems	Auckland, New Zealand
AIEC 2020	International Workshop on Artificial Intelligence and Edge Computing	Paris, France
IEEE ISNCC 2020	2020 IEEE International Symposium on Networks, Computers and Communications	Montreal - Canada
DATA 2020	AI and Big Data in Cancer: From Innovation to Impact	Boston, USA
ACM--ICSIE--Ei Compendex, Scopus 2020	2020 9th International Conference on Software and Information Engineering (ICSIE 2020)--ACM, Ei Compendex, Scopus	Cairo, Egypt
ACDL 2020	3rd Advanced Course on Data Science & Machine Learning	Siena - Tuscany
ICDMML 2020	【EI SCOPUS】2020 International Conference on Data Mining and Machine Learning	Bangalore, India
SYSINT 2020	5th International Conference on System-Integrated Intelligence Intelligent, flexible and connected systems in products and production	Bremen, Germany
icist 2020	ACM - Scopus 10th International Conference on Information Systems and Technologies 	Italy
HPML 2020	3rd High Performance Machine Learning Workshop - SUBMISSION EXTENSION FEB 18th	Melbourne - Australia
ICCE-Asia 2020	IEEE International Conference On Consumer Electronics (ICCE) Asia	Seoul, Korea
IEEE ISCC 2020	25th IEEE International Symposium on Computers and Communications (ISCC)	Rennes, France
LOD 2020	The 6th International Conference on Machine Learning, Optimization & Data Science	Siena - Tuscany, Italy
ICSCT--JA, Scopus 2020	2020 9th International Conference on Software and Computing Technologies (ICSCT 2020)--JA, Scopus	Chi Minh City, Vietnam
ETAB 2020	National Conference on Emerging Trends in AI and Big Data (ETAB-2020)	PICT, Pune, India
mmwn 2020	Multimodal wordnets workshop @ LREC 2020	Marseille, France
SDS 2020	7th Swiss Conference on Data Science	KKL Luzern, Switzerland
DIAGRAMS 2020	DIAGRAMS 2020: Call for Workshop and Tutorial Proposals	Tallinn
ASYS 2020	IEEE COMPSAC Symposium on Autonomous Systems	Madrid, Spain
AT 2020	The 7th International Conference on Agreement Technologies	Thessaloniki, Greece
EUMAS 2020	17th European Conference on Multi-Agent Systems	Thessaloniki, Greece
ICIAR 2020	17th International Conference on Image Analysis and Recognition	Povoa, Porto, Portugal
SDS 2020	Smart Devices Symposium 2020 	Osaka, Japan
EAIS 2020	2020 IEEE Conference on Evolving and Adaptive Intelligent Systems (EAIS2020)	Bari
ICITCS 2020	iCatse International Conference on IT Convergence and Security 2020	Nha Trang, Vietnam
ICML 2020	37th International Conference on Machine Learning	Vienna, AUSTRIA
ICSRT--ACM, Ei and Scopus 2020	ACM--2020 the 3rd International Conference on Service Robotics Technologies (ICSRT 2020)--Ei Compendex, Scopus	Singapore
SOCO 2020	15th International Conference on Soft Computing Models in Industrial and Environmental Applications	Burgos (Spain)
CISIS 2020	13th International Conference on Computational Intelligence in Security for Information Systems	Burgos (Spain)
WAAS 2020	IEEE Workshop on Assured Autonomous Systems (WAAS) 2020	HYATT REGENCY, SAN FRANCISCO, CA
Robophilosophy 2020	International Research Conference Robophilosophy	Aarhus, Denmark
Algorithmic Law Paris 2020	Call for Abstracts Symposium Algorithmic Law and Society - Law and Society Review	Paris, France
DCAI 2020	17th International Conference on Distributed Computing and Artificial Intelligence	L'Aquila (Italy)
ISAMI 2020	11th International Symposium on Ambient Intelligence	L'Aquila (Italy)
ICCS 2020	International Conference on Conceptual Structures	Bolzano, Italy
ACM--IEAI--EI Compendex, Scopus 2020	ACM--2020 International conference on Industrial Engineering and Artificial Intelligence (IEAI 2020)--EI Compendex, Scopus	Osaka, Japan
iDSC 2020	3rd International Data Science Conference	Austria
SCIA@PAAMS 2020	Workshop on Smart Cities and Intelligent Agents (SCIA)	L'Aquila (Italy)
IEEE CAIT--Ei Compendex, Scopus 2020	2020 IEEE International Conference on Artificial Intelligence Technology (CAIT 2020)--Ei Compendex, Scopus	Shanghai, China
SS-IJCNN 2020	IJCNN Special Issue on Artificial Intelligence and Advanced Machine Learning for Biomedical Signal Processing	Glasgow, Scotland (UK)
XAI@WCCI 2020	Special Session Advances on eXplainable Artificial Intelligence @ WCCI 2020	Glasgow, UK
MLHMI--Ei and Scopus 2020	2020 International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2020)--Ei Compendex and Scopus	Singapore
SS IJCNN 2020	Special Session on Machine Learning and Deep Learning Approaches for Ambient Assisted Living at IEEE WCCI/IJCNN 2020	Glasgow, Scotland UK
CLOSER 2020	10th International Conference on Cloud Computing and Services Science	Prague, Czech Republic
ICAI 2020	11th International Conference on Applied Informatics	Eger, Hungary
MIPRO  2020	43rd International Convention on Information, Communication and Electronic Technology 	Opatija
AMSTA 2020	14th International Conference on Agents and Multi-Agent Systems: Technology and Applications	Split, Croatia
IDT 2020	12th International Conference on Intelligent Design Technologies	Split, Croatia
InMed 2020	8th International Conference on Intelligent Design Technologies	Split, Croatia
STS 2020	3rd International Symposium on Smart Transport System	Split, Croatia
MLA 2020	The International Workshop on Machine Learning Applications	Marrakech, Morocco
ISMSI--Ei, Scopus 2020	2020 4th International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2020)--Ei Compendex, Scopus	Thimphu, Kingdom of Bhutan
ASPAI 2020	2nd International Conference on Advances in Signal Processing and Artificial Intelligence	Novotel Berlin Am Tiergarten, Berlin
DDSW 2020	International Workshop on Data-Driven Security (DDSW 2020)	Warsaw, Poland
IJCAI 2020	International Joint Conference on Artificial Intelligence	Yokohama, Japan
JDSA SI 2020	Springer Journal Special Issue on Data Science for Next-Generation Recommender Systems	N/A
ACM--ICISS--Ei Compendex and Scopus 2020	ACM--2020 3rd International Conference on Information Science and Systems (ICISS 2020)--Ei Compendex, Scopus	Cambridge University, UK
AICO 2020	The First Arab Informatics Conference in Oncology	Cairo, Egypt 
Scopus-CMVIT 2020	4th International Conference on Machine Vision and Information Technology	Sanya, China
ICCES 2020	ACM - 6th International Conference of Computing for Engineering and Sciences	Tunisia
CloudTech 2020	The 5th International Conference on Cloud Computing  and Artificial Intelligence: Technologies and Applications	Marrakesh, Morocco
ICUIA 2020	The 2nd International Conference on Urban Intelligence and Applications	Taiyuan, China
CCPE-DCSN 2020	CCPE -- Special Issue on Distributed Computing for Smart Networks: Recent Advances and Future Trends	N/A
Ei/Scopus-CMVIT 2020	4th International Conference on Machine Vision and Information Technology	Sanya, China
SFSF 2020	Science Fiction vs. Science Facts	Bottrop
INSIGHT 2020	INSIGHT - scientific data from an aesthetic perspective	Vienna
CCECE 2020	33rd Canadian Conference of Electrical and Computer Engineering	London, Ontario, Canada
SEAMS 2020	15th International Symposium on Software Engineering for Adaptive and Self-Managing Systems	Seoul, South Korea
SEB  2020	12th International Conference on Sustainability in Energy and Buildings	Split, Croatia
PETRA 2020	13th International Conference on Pervasive Technologies Related to Assistive Environments	Corfu, Greece
SDM 20	7th International Conference on Sustainable Design and Manufacturing	Split, Croatia
CanadianAI 2020	33rd Canadian Conference on Artificial Intelligence	Ottawa, Canada
InCM 2020	The 2nd International Workshop on Intelligent Computing and Measurements	Caserta, Italy
IntelliSys 2020	Intelligent Systems Conference (IntelliSys) 2020	Amsterdam, The Netherlands
FUZZ-IEEE 2020	FUZZ-IEEE 2020 : Special Session on Temporal and Spatial Information Analysis and Management with Computational Intelligence	Glasgow, Scotland (UK)
ICICT--Ei Compendex and Scopus 2020	2020 the 3rd International Conference on Information and Computer Technologies (ICICT 2020)--Ei Compendex and Scopus	Silicon Valley, USA
FUZZ-IEEE  2020	Special Session on Fuzzy Logic for Knowledge Graphs	Glasgow, Scotland (UK)
SDAI 2020	 EAI International Conference on Social Data and Artificial Intelligence	Toronto, Canada
SenSys-ML 2020	SenSys-ML 2020: Workshop on Machine Learning on Edge in Sensor Systems	Sydney, Australia
AIDBEI 2020	AAAI 2020 Diversity Workshop: Mentoring Students from Underserved Populations	Hilton New York Midtown, New York, USA
WSDM 2020	International Workshop on Web Search and Data Mining	Warsaw, Poland
ICNMC 2020	7th International Conference on New Music Concepts	Treviso (Italy)
CYBI 2020	7th International Conference on Cybernetics & Informatics	Zurich, Switzerland
ACM--ICCCR--Ei Compendex, Scopus 2020	ACM--2020 International Conference on Computer, Control and Robotics (ICCCR 2020)--Ei Compendex, Scopus	Shanghai, China
ICAMD--EI Compendex and Scopus 2020	2020 The 3rd Internationalal Conference on Automation, Mechanical and Design Engineering (ICAMD 2020)--EI Compendex, Scopus	Bangkok, Thailand
ICMVA--EI, Scopus 2020	2020 The 3rd International Conference on Machine Vision and Applications (ICMVA 2020)--EI Compendex, SCOPUS	Yangon, Myanmar 
ICBDA--IEEE, Ei Compendex and Scopus 2020	IEEE--2020 The 5th International Conference on Big Data Analytics (ICBDA 2020)--Ei Compendex, Scopus	Xiamen, China
ACM--ICIAI--Ei Compendex and Scopus 2020	ACM--2020 the 4th International Conference on Innovation in Artificial Intelligence (ICIAI 2020)--Ei Compendex, Scopus	Huaqiao University, Xiamen, China
ICSCA--ACM, Ei, Scopus 2020	ACM--2020 9th International Conference on Software and Computer Applications (ICSCA 2020)--Ei Compendex, Scopus	Langkawi, Malaysia
ICCCI 2020	International Conference on Computational Collective Intelligence	Da Nang, Vietnam
ACM--ICCAE--Ei Compendex and Scopus 2020	ACM--2020 12th International Conference on Computer and Automation Engineering (ICCAE 2020)--Ei Compendex, Scopus	Sydney, Australia
ICVARS--ACM, Ei Compendex, Scopus 2020	ACM--2020 4th International Conference on Virtual and Augmented Reality Simulations (ICVARS 2020)--Ei Compendex, Scopus	Sydney, Australia
CogSIMA 2020	2020 IEEE Conference on Cognitive and Computational Aspects of Situation Management	Victoria, BC, Canada
CSCIoT 2019	Enabling Cognitive Smart Cities: Security and Privacy in IoT applications	N/A
ECDMO--EI Compendex, Scopus 2020	2020 4th European Conference on Design, Modeling and Optimization (ECDMO 2020)--EI Compendex, Scopus	Athens, Greece
IEEE--ICoIAS--Ei and Scopus 2020	2020 3rd International Conference on Intelligent Autonomous Systems (ICoIAS’2020)--IEEE Xplore, Ei Compendex and Scopus	Singapore
IWSMAI 2020	Submission Deadline Extended [IWSMAI'20], International Workshop on Statistical Methods and Artificial Intelligence (IWSMAI 2020)	Warsaw, Poland
A2IA 2020	Artificial Intelligence & Industrial Applications - International Conference	Meknes, Morocco
IID 2020	Innovative Ideas in Data Science	Taipei
HUMANIZE 2020	4th Workshop on Transparency and Explainability in Adaptive Systems through User Modeling Grounded in Psychological Theory	Cagliari (Italy)
EUIoT 2020	Intelligent User Interfaces for End-User Development of IoT	Cagliari, Italy
Comp2Clinic Workshop @ BIOSTEC 2020	Biomedical Researchers & Clinicians Closing the Gap Between Translational Research and Healthcare Practice	Valletta, Malta
TAMC 2020	Theory and Applications of Models of Computation	Changsha, China
ICMRE--IEEE, Ei, Scopus 2020	IEEE--2020 6th International Conference on Mechatronics and Robotics Engineering (ICMRE 2020)--Ei Compendex, Scopus	Barcelona, Spain
Scopus-CCEAI 2020	4th International Conference on Control Engineering and Artificial Intelligence	Singapore
CLDD 2020	Classifier Learning from Difficult Data 2020 (ICCS 2020 workshop)	Amsterdam, The Netherlands
ITU Journal - Future of video 2020	Deadline extended!- ITU Journal: ICT Discoveries - The future of video and immersive media	N/A
ICVR--Ei and Scopus 2020	2020 6th International Conference on Virtual Reality (ICVR 2020)--Ei Compendex, Scopus	Singapore
ICIIT--ACM, Ei and Scopus 2020	ACM--2020 5th International Conference on Intelligent Information Technology (ICIIT 2020)--Ei Compendex, Scopus	Hanoi, Vietnam
ISCRAM 2020	17th International Conference on Information Systems for Crisis Response and Management	Blacksburg, Virginia, USA
CogArch 2020	Reminder: CogArch 2020: The Fourth Workshop on Cognitive Architectures	San Diego, CA
ICMSCE--Ei Compendex and Scopus 2020	2020 The 4th International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2020)--Ei Compendex, Scopus	Rome, Italy
ICRIS--Ei Compendex and Scopus 2020	2020 The 3rd International Conference on Robotics and Intelligent System (ICRIS 2020)--SCOPUS, Ei Compendex	Rome, Italy
BDET--ACM, Ei Compendex and Scopus 2020	ACM--2020 2nd International Conference on Big Data Engineering and Technology (BDET 2020)--Ei Compendex, Scopus	Singapore
FCCE--Ei Compendex, Scopus 2020	2020 International Conference on Frontiers of Computers and Communication Engineering (FCCE 2020)--Ei Compendex, Scopus	Singapore
US2TS 2020	3rd U.S. Semantic Technologies Symposium 2020	Raleigh, North Carolina
ICHMS 2020	IEEE International Conference on Human-Machine Systems	Rome - Italy
IntelliSys 2020	SAI Intelligent Systems Conference	Amsterdam, The Netherlands
CVCI--Ei Compendex and Scopus 2020	2020 International Conference Computer Vision and Computational Intelligence (CVCI 2020)--Ei Compendex and Scopus	Bali Island, Indonesia
APIT--ACM, EI, Scopus 2020	ACM--2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
ZJULogAI 2020	Zhejiang Conferences on Logics in Artificial Intelligence	Hangzhou, China
ICMLSC--Ei & Scopus 2020	2020 The 4th International Conference on Machine Learning and Soft Computing (ICMLSC 2020)--Ei Compendex & Scopus	Haiphong City, Vietnam
BSLAB 2020	7th Business Systems Laboratory International Symposium SOCIO-ECONOMIC ECOSYSTEMS: CHALLENGES FOR SUSTAINABLE DEVELOPMENT IN THE DIGITAL ERA	ALICANTE, SPAIN
SI-ATAPS 2019	Special Issue on Advanced Techniques in the Analysis and Prediction of Students' Behaviour in Technology-Enhanced Learning Contexts	N/A
APIT--EI, Scopus 2020	2020 2nd Asia Pacific Information Technology Conference (APIT 2020)--EI Compendex, Scopus	Bali Island, Indonesia
ICMIMT--IEEE, Ei and Scopus 2020	2020 IEEE 11th International Conference on Mechanical and Intelligent Manufacturing Technologies (ICMIMT 2020)--SCOPUS, Ei Compendex	Cape Town, South Africa
MBAI 2019	2019 International Conference on Medicine, Bioengineering and Artificial Intelligence (MBAI2019)	Guangzhou, China
ICCSP--Ei and Scopus 2020	2020 4th International Conference on Cryptography, Security and Privacy (ICCSP 2020)--Ei Compendex and Scopus	Nanjing, China
IOP--ICAPM--Ei Compendex and scopus 2020	IOP--2020 10th International Conference on Applied Physics and Mathematics (ICAPM 2020)--Ei Compendex and Scopus	Tokyo, Japan
